服务器节点图可用
query.entity.owner,获取拥有者实体
query.entities.filterByComponentId,获取指定元件ID的实体列表
query.entities.filterByType,获取指定类型的实体列表
query.entities.filterByRange,获取指定范围的实体列表
query.entities.filterByCamp,获取指定阵营的实体列表
query.object.stats,获取物件属性
query.entity.self,获取自身实体
query.character.stats,获取角色属性
query.level.environmentTime,查询当前环境时间
query.level.gameElapsed,获取游戏已进行时间
query.camp.ofEntity,查询实体阵营
query.camp.isHostile,获取阵营是否敌对
query.player.allCharactersDown,查询玩家角色是否全部倒下
query.playerIndex.byGuid,根据玩家GUID获取玩家序号
query.playerGuid.byIndex,根据玩家序号获取玩家GUID
query.players.inField,获取在场玩家实体列表
query.player.allCharacterEntities,获取指定玩家所有角色实体
query.player.reviveRemaining,获取玩家剩余复苏次数
query.player.reviveDuration,获取玩家复苏耗时
query.player.inputDeviceType,获得玩家客户端输入设备类型
query.player.nickname,获取玩家昵称
query.player.ofCharacter,获取角色归属的玩家实体
query.follower.target,获取跟随运动器的目标
query.timer.globalCurrent,获取全局计时器当前时间
query.ui.currentLayout,获取玩家当前界面布局
query.creation.stats,获取造物属性
query.creation.currentTarget,获取造物当前目标
query.creation.defaultAggroList,获取默认模式的造物仇恨列表
query.career.ofPlayer,查询玩家职业
query.career.level,查询玩家职业的等级
query.character.skill,查询角色技能
query.unitState.slotIndexList,查询单位状态的槽位序号列表
query.unitState.hasState,查询实体是否具有单位状态
query.unitState.layerCountBySlot,根据槽位序号查询单位状态层数
query.unitState.applierBySlot,根据槽位序号查询单位状态施加者
query.tags.entitiesByUnitTagIndex,获取单位标签的实体列表
query.tags.ofEntity,获取实体单位标签列表
query.hatred.globalTransferMultiplier,查询全局仇恨转移倍率
query.hatred.isInCombat,查询指定实体是否已入战
query.hatred.multiplierOfEntity,查询指定实体的仇恨倍率
query.hatred.valueOfEntity,查询指定实体的仇恨值
query.hatred.ownersByTarget,获取以目标为仇恨目标的拥有者列表
query.hatred.listOfEntity,获取指定实体的仇恨列表
query.hatred.targetOfOwner,获取指定实体的仇恨目标
query.hatred.ownersByListContainingTarget,获取目标所在仇恨列表的拥有者列表
query.path.pointInfo,获取指定路径点信息
query.preset.indicesByUnitTag,以单位标签获取预设点位列表
query.preset.transformByIndex,查询预设点位置旋转
query.settlement.playerSuccess,获取玩家结算成功状态
query.settlement.playerRankValue,获取玩家结算排名数值
query.settlement.campSuccess,获取阵营结算成功状态
query.settlement.campRankValue,获取阵营结算排名数值
query.dict.getByKey,以键查询字典值
query.dict.containsValue,查询字典是否包含特定值
query.dict.containsKey,查询字典是否包含特定键
query.dict.length,查询字典长度
query.dict.values,获取字典中值组成的列表
query.dict.keys,获取字典中键组成的列表
query.shop.purchaseInfo,查询商店商品收购信息
query.shop.purchaseList,查询商店收购物品列表
query.shop.backpackSellInfo,查询背包商店商品出售信息
query.shop.backpackSellList,查询背包商店物品出售列表
query.shop.customSellInfo,查询自定义商店商品出售信息
query.shop.customSellList,查询自定义商店商品出售列表
query.equip.tagList,查询装备标签列表
query.equip.configIdByIndex,根据装备索引查询装备配置ID
query.equip.entryList,获取装备词条列表
query.equip.entryValue,获取装备词条数值
query.equip.entryConfigId,获取装备词条配置ID
query.drop.coinCount,获取凋落物组件货币数量
query.reward.allCoins,获取战利品所有货币
query.reward.allItems,获取战利品所有道具
query.drop.allEquip,获取掉落物件所有装备
query.drop.itemCount,获取掉落物组件道具数量
query.backpack.capacity,获取背包容量
query.backpack.basicItems,获取背包所有基础道具
query.backpack.allEquip,获取背包所有装备
query.backpack.allCoins,获取背包所有货币
query.backpack.coinCount,获取背包货币数量
query.backpack.itemCount,获取背包道具数量
query.collisionTrigger.entitiesIn,获取碰撞触发器内所有实体
query.minimap.markerInfo,查询指定小地图标识信息
query.minimap.markerStates,获取实体的小地图标识状态
query.creation.patrolTemplate,获取当前造物的巡逻模板
query.achievement.isCompleted,查询成就是否完成
query.scanTag.activeConfigId,获取当前生效的扫描标签配置ID
query.rank.info,获取玩家段位信息
query.rank.deltaScore,获取玩家段位变化分数
query.rank.escapeLegal,获取玩家逃跑合法性
query.entityLayoutGroups.active,查询当前激活的实体布设组列表
query.giftBox.count,查询对应礼盒数量
query.giftBox.consumeCount,查询对应礼盒消耗数量
math.enumEquals,枚举是否相等
math.list.assemble,拼装列表
math.equals,是否相等
math.typeCast,数据类型转换
math.vector3.dot,三维向量内积
math.vector3.sub,三维向量减法
math.vector3.add,三维向量加法
math.vector3.cross,三维向量外积
math.vector3.angle,三维向量夹角
math.vector3.normalize,三维向量归一化
math.vector3.rotate,三维向量旋转
math.vector3.magnitude,三维向量模运算
math.vector3.scale,三维向量缩放
math.vector3.distance,两坐标点距离
math.mul,乘法运算
math.cos,余弦函数
math.sub,减法运算
math.div,除法运算
math.vector3.create,创建三维向量
math.add,加法运算
math.acos,反余弦函数
math.atan,反正切函数
math.asin,反正弦函数
math.truncate,取整数运算
math.sign,取符号运算
math.max,取较大值
math.min,取较小值
math.shift.right,右移运算
math.log,对数运算
math.shift.left,左移运算
math.pow,幂运算
math.rad2deg,弧度转角度
math.vector3.split,拆分三维向量
math.bit.and,按位与
math.bit.write,按位写入
math.bit.not,按位取补
math.bit.xor,按位异或
math.bit.or,按位或
math.bit.read,按位读出
math.gt,数值大于
math.gte,数值大于等于
math.lt,数值小于
math.lte,数值小于等于
math.direction.rotate,方向向量旋转
math.time.weekdayFromTimestamp,根据时间戳计算星期几
math.time.formatFromTimestamp,根据时间戳计算格式化时间
math.time.timestampFromFormat,根据格式化时间计算时间戳
math.mod,模运算
math.tan,正切函数
math.sin,正弦函数
math.sqrt,算术平方根运算
math.abs,绝对值运算
math.clamp,范围限制运算
math.deg2rad,角度转弧度
math.logic.and,逻辑与运算
math.logic.xor,逻辑异或运算
math.logic.or,逻辑或运算
math.logic.not,逻辑非运算
math.dict.create,建立字典
math.dict.assemble,拼装字典
math.struct.decompose,拆分结构体
math.struct.assemble,拼装结构体
客户端节点图可用
event.graphStart,节点图开始
flow.graphEndBoolean,节点图结束（布尔型）
flow.graphEndInteger,节点图结束（整数）
client.query.list.getValue,获取列表对应值
client.query.list.length,获取列表长度
client.query.list.max,获取列表最大值
client.query.list.min,获取列表最小值
client.query.raycast.filterList,获取射线筛选类型列表
client.query.entity.typeList,获取实体类型列表
client.query.list.contains,列表是否包含该值
client.query.customVariable.get,获取自定义变量
client.query.presetState.get,获取预设状态
client.query.entity.isPresent,查询实体是否在场
client.query.entity.getAttackTarget,获取单位攻击目标
client.query.entity.getSocketPosition,获取目标挂接点位置
client.query.entity.getSocketRotation,获取目标挂接点旋转
client.query.player.isSelfInCombat,查询自身是否已入战
